ProdId,Description,GHG Emission (g),Weight (g),GHG Emission (Kg) / 100g
R-61778,ALF|Flatbread|4 Cheese,1229.9474999999998,185.0,0.6648364864864864
R-61780,ALF|Flatbread|Apple & Pancetta,756.34575,140.0,0.5402469642857143
R-61749,ALF|Flatbread|BBQ Chicken,1023.874995460243,245.0,0.4179081614123441
R-50859,ALF|Flatbread|Bruschetta,522.0372666673532,215.0,0.24280803100807127
R-50788,ALF|Flatbread|Caprese,629.2369997732426,233.0,0.27005879818594103
R-61781,ALF|Flatbread|Chick Artichoke,999.0381998490041,245.0,0.40777069381592
R-50858,ALF|Flatbread|Greek,426.8797159301388,200.0,0.21343985796506942
R-61498,ALF|Flatbread|Hawaii Five-0,970.6715299744898,200.0,0.48533576498724496
R-50562,ALF|Flatbread|Italian,593.347237444543,141.0,0.4208136435776901
R-56337,ALF|Flatbread|Mediterranean,313.69869826086955,145.0,0.21634392983508244
R-61782,ALF|Flatbread|Mushroom,720.7684333333334,212.0,0.3399851100628931
R-61779,ALF|Flatbread|Mushroom Pesto,597.8903333333333,205.0,0.29165382113821137
R-50590,ALF|Flatbread|OK,375.90129375,165.0,0.2278189659090909
R-50494,ALF|Flatbread|Proscuitto,784.8455618055555,210.0,0.3737359818121693
R-50824,ALF|Flatbread|Pulled Pork,2196.100005814472,295.0,0.7444406799371092
R-61755,ALF|Flatbread|Roasted Root Veg,400.76132672910444,200.0,0.20038066336455224
R-61742,ALF|Flatbread|Shrimp Pesto,1540.0949782634714,168.0,0.9167232013473045
R-50896,ALF|Flatbread|Smoked Salmon,474.4360092930976,140.0,0.33888286378078397
R-61763,ALF|Pasta|Bolognese Lasagna,3198.685711375951,300.0,1.0662285704586505
R-61659,ALF|Pasta|Cauliflower Cheese,728.2421460037996,300.0,0.24274738200126653
R-56505,ALF|Pasta|Chicken Alfredo,1086.4549032964087,380.0,0.28590918507800234
R-51303,ALF|Pasta|Chorizo Penne,1205.7076049528343,457.0,0.26383098576648456
R-61435,ALF|Pasta|Mac & Cheese,1460.9718727161712,400.0,0.3652429681790428
R-56504,ALF|Pasta|Shrimp Pesto,1815.0052741379313,360.0,0.504168131704981
R-61688,ALF|Pasta|Spin Mush Lasagna,1191.3411804549519,350.0,0.3403831944157006
R-61758,ALF|Pasta|Tuna Casserole,606.5564057128352,303.0,0.20018363224846047
R-56454,GRL|Chicken Burger|Maui,717.0857447670329,178.0,0.40285715998147914
R-56491,GRL|Sandwich|Bahn Mi,991.552309896563,175.3,0.5656316656569098
R-61739,GRL|Sandwich|Chicken Crunch,472.81069652778893,186.0,0.2541992992084887
R-56458,GRL|Sandwich|Crispy Fish,946.2384642347645,256.0,0.3696244000917049
R-56508,GRL|Sandwich|Cubano,1253.7378663231573,160.00000056000002,0.7835861637094217
R-56456,GRL|Sandwich|Monte Cristo,627.5377817237577,141.9999990600001,0.44192801822385963
R-50491,GRL|Sandwich|Reuben,4242.04908505362,205.00000056000002,2.0692922309588213
R-56924,GRL|Sandwich|Shrimp,1016.3365446506515,156.0,0.6514977850324689
R-56493,GRL|Sandwich|Tuna Melt,309.77549063613054,117.5,0.2636387154350047
R-36043,SQR|AlooGobi 225g,175.12292160030762,225.0,0.07783240960013672
R-47340,SQR|Brown Rice 170g,214.67259700176368,170.0,0.1262779982363316
R-28323,SQR|Butter Chicken,1514.5933364676898,445.0,0.3403580531388067
R-37050,SQR|Butter Chicken+1,1626.4714364014544,558.5,0.2912213852106454
R-37051,SQR|Butter Chicken+2,1737.5712122392172,671.0,0.2589524906466792
R-57165,SQR|Cabbage & Apple|Side,151.78995768089055,135.0,0.11243700568954856
R-54176,SQR|Chicken Cacciatore,1471.1069257486843,590.0,0.24934015690655667
R-57710,SQR|Chicken Cacciatore +1,1687.6604096969681,660.5,0.2555125525657787
R-57711,SQR|Chicken Cacciatore +2,1904.213893645252,731.0,0.26049437669565695
R-28324,SQR|Garlic Naan Bread,47.85495417121981,1.0,4.7854954171219815
R-57565,SQR|Green Beans|Steamed,247.77651551020412,140.0,0.1769832253644315
R-42369,SQR|Paneer TikaMasala+1,937.3378872843654,508.5,0.18433390113753498
R-42370,SQR|Paneer TikaMasala+2,1048.4376631221285,621.0,0.16883054156556015
R-42358,SQR|PaneerTikaMasala,825.4597873506009,395.0,0.2089771613545825
R-56115,SQR|Perogy (No Smokie),636.6488906204776,343.0,0.1856119214636961
R-57808,SQR|Perogy (no smokie) +1,788.4388483013681,478.0,0.1649453657534243
R-44570,SQR|Perogy & Smokie,1737.7768906204774,344.0,0.5051677007617668
R-57809,SQR|Perogy & Smokie +1,1889.5668483013678,479.0,0.3944815967226238
R-56884,SQR|Ratatouille Spaghetti,394.6137491310327,443.0,0.08907759574063943
R-57712,SQR|Ratatouille Spaghetti +1,611.1672330793165,513.5,0.11901990907094771
R-57713,SQR|Ratatouille Spaghetti +2,827.7207170276005,584.0,0.1417329994910275
R-51585,SQR|Roasted Garlic Bread,185.33045238636362,1.0,18.53304523863636
