IngredientId,Qty,Uom,Conversion,InvFactor,Recipe
I-2058,1.000,Kg,1.00000000,0.0667,P-10395
I-2061,500.000,g,0.00100000,33.3333,P-10395
I-7454,0.250,Kg,1.00000000,0.0167,P-10395
P-5545,10.000,L,1.00000000,0.6667,P-10395
I-3276,250.000,ml,0.00100000,0.1250,P-25843
I-3373,50.000,g,0.00100000,0.0250,P-25843
I-4463,150.000,g,0.00220462,0.0750,P-25843
I-4526,1.000,BASKET,1.00000000,0.0005,P-25843
I-4534,270.000,g,0.00220462,0.1350,P-25843
I-4905,300.000,g,0.00220462,0.1500,P-25843
I-6964,250.000,g,1.00000000,0.1250,P-25843
I-10117,20.000,g,0.03527399,0.0071,P-25844
I-1813,200.000,ml,0.03381406,0.0714,P-25844
I-2051,15.000,g,0.00100000,0.0054,P-25844
I-2122,200.000,g,0.00100000,0.0714,P-25844
I-2903,150.000,ml,0.00100000,0.0536,P-25844
I-4628,2.000,HEAD,1.00000000,0.0007,P-25844
I-4752,100.000,g,0.00220462,0.0357,P-25844
I-4930,600.000,g,0.00220462,0.2143,P-25844
I-4949,1500.000,g,0.00220462,0.5357,P-25844
I-6870,25.000,g,0.00100000,0.0089,P-25844
I-3419,1.000,Kg,1.00000000,0.5000,P-30409
I-5983,2.000,L,1.00000000,1.0000,P-30409
I-18803,200.000,ml,0.00100000,0.0976,P-30410
I-2051,20.000,g,0.00100000,0.0098,P-30410
I-2060,150.000,g,0.00100000,0.0732,P-30410
I-2854,250.000,g,0.00100000,0.1220,P-30410
I-3249,200.000,ml,0.00100000,0.0976,P-30410
I-3394,100.000,g,0.00169048,0.0488,P-30410
I-4463,100.000,g,0.00220462,0.0488,P-30410
I-4752,150.000,g,0.00220462,0.0732,P-30410
I-6870,15.000,g,0.00100000,0.0073,P-30410
P-30409,1.000,Kg,1.00000000,0.0005,P-30410
I-5983,2.000,L,1.00000000,1.0000,P-30411
I-6964,1.000,Kg,1000.00000000,0.5000,P-30411
I-3239,100.000,g,0.00100000,0.0833,P-30412
I-3342,250.000,ml,1.00000000,0.2083,P-30412
I-3373,60.000,g,0.00100000,0.0500,P-30412
I-4463,200.000,g,0.00220462,0.1667,P-30412
I-4573,200.000,g,0.00220462,0.1667,P-30412
I-4752,100.000,g,0.00220462,0.0833,P-30412
P-30411,300.000,g,0.00100000,0.2500,P-30412
I-2251,12.000,L,1.00000000,1.2000,P-5545
I-3638,45.000,g,1.00000000,4.5000,P-5545
I-3646,6.000,g,1.00000000,0.6000,P-5545
I-3660,50.000,g,0.00100000,5.0000,P-5545
I-6020,3.000,lb,1.00000000,0.3000,P-5545
I-6870,60.000,g,0.00100000,6.0000,P-5545
I-7452,1.500,Kg,1.00000000,0.1500,P-5545
I-2051,10.000,g,0.00100000,0.5000,P-5962
I-2061,500.000,g,0.00100000,25.0000,P-5962
I-2903,6.000,L,1.00000000,0.3000,P-5962
I-4508,6.000,lb,1.00000000,0.3000,P-5962
I-4657,2.270,Kg,2.20462000,0.1135,P-5962
I-6870,10.000,g,0.00100000,0.5000,P-5962
I-2053,75.000,g,0.00100000,1.0000,R-10222
I-4508,5.000,g,0.00220462,1.0000,R-10222
I-4930,0.200,lb,1.00000000,1.0000,R-10222
I-6451,30.000,ml,0.00100000,1.0000,R-10222
P-5962,10.000,ml,0.00100000,1.0000,R-10222
I-1196,1.000,CT,1.00000000,1.0000,R-10223
I-2159,1.000,CT,1.00000000,1.0000,R-10223
I-4463,3.000,g,0.00220462,1.0000,R-10223
I-6869,30.000,g,0.00100000,1.0000,R-10223
P-10395,30.000,ml,0.00100000,1.0000,R-10223
I-2918,5.000,g,0.00100000,1.0000,R-10224
I-3241,20.000,g,0.00100000,1.0000,R-10224
I-6439,100.000,g,0.00220462,1.0000,R-10224
I-6450,50.000,ml,0.00100000,1.0000,R-10224
I-1230,1.000,CT,1.00000000,1.0000,R-10387
I-1188,1.000,CT,1.00000000,1.0000,R-10388
I-1209,1.000,CT,1.00000000,1.0000,R-10390
I-1157,0.250,CT,1.00000000,1.0000,R-10391
I-1261,0.250,CT,1.00000000,1.0000,R-10391
I-16212,0.250,ea,1.00000000,1.0000,R-10391
I-6914,0.250,CT,1.00000000,1.0000,R-10391
P-25844,400.000,g,1.00000000,1.0000,R-25866
P-25843,350.000,g,1.00000000,1.0000,R-25867
I-25119,1.000,ea,1.00000000,1.0000,R-30414
P-30410,350.000,g,1.00000000,1.0000,R-30414
I-25119,1.000,ea,1.00000000,1.0000,R-30415
I-3276,30.000,ml,0.00100000,1.0000,R-30415
P-30412,180.000,g,1.00000000,1.0000,R-30415
R-25866,1.000,ea,1.00000000,1.0000,R-31439
R-25867,1.000,ea,1.00000000,1.0000,R-31440
I-48730,1.000,ea,1.00000000,1.0000,R-48867
I-1644,1.000,bottle,1.00000000,1.0000,R-50814
I-5983,1.000,L,1.00000000,1.0000,R-54100
I-2244,1.000,PTN,1.00000000,1.0000,R-54116
I-2251,480.000,ml,0.00100000,1.0000,R-54122
R-50814,1.000,ea,1.00000000,1.0000,R-58674
R-54100,1.000,ea,1.00000000,1.0000,R-60580
R-48867,1.000,ea,1.00000000,1.0000,R-60778
I-2060,20.000,g,0.00100000,1.0000,R-61589
I-4463,5.000,g,0.00220462,1.0000,R-61589
I-8260,45.000,g,0.00100000,1.0000,R-61589
I-9641,0.030,LOAF,1.00000000,1.0000,R-61589
P-5962,10.000,ml,0.00100000,1.0000,R-61589
I-17159,30.000,g,0.00220462,1.0000,R-61590
I-2053,30.000,g,0.00100000,1.0000,R-61590
I-2903,10.000,ml,0.00100000,1.0000,R-61590
I-2948,20.000,g,0.00100000,1.0000,R-61590
I-4463,5.000,g,0.00220462,1.0000,R-61590
I-6872,10.000,ml,1.00000000,1.0000,R-61590
I-9641,0.030,LOAF,1.00000000,1.0000,R-61590
I-2118,1.000,PTN,1.00000000,1.0000,R-54124
I-11794,1.000,each,1.00000000,1.0000,R-54125
I-5983,1.000,L,1.00000000,1.0000,R-55701
R-54125,1.000,ea,1.00000000,1.0000,R-60574
I-3828,1.000,BAR,1.00000000,1.0000,R-60575
R-60575,1.000,ea,1.00000000,1.0000,R-60576
R-54100,1.000,ea,1.00000000,1.0000,R-60578
R-55701,1.000,ea,1.00000000,1.0000,R-60579
R-60575,1.000,ea,1.00000000,1.0000,R-60581
R-54100,1.000,ea,1.00000000,1.0000,R-60585
I-54298,1.000,BAR,1.00000000,1.0000,R-60591
R-60575,1.000,ea,1.00000000,1.0000,R-60592
R-54124,1.000,ea,1.00000000,1.0000,R-60593
I-3828,1.000,BAR,1.00000000,1.0000,R-60595
R-60575,1.000,ea,1.00000000,1.0000,R-60596
R-60575,1.000,ea,1.00000000,1.0000,R-60597
R-60575,1.000,ea,1.00000000,1.0000,R-60598
R-55701,1.000,ea,1.00000000,1.0000,R-60599
R-60575,1.000,ea,1.00000000,1.0000,R-60606
R-60598,1.000,ea,1.00000000,1.0000,R-60781
R-60781,1.000,ea,1.00000000,1.0000,R-60782
R-60782,1.000,ea,1.00000000,1.0000,R-60783
I-1683,1.000,591ML,1.00000000,1.0000,R-60790
I-2053,30.000,g,0.00100000,1.0000,R-60822
I-2060,75.000,g,0.00100000,1.0000,R-60822
I-2333,40.000,g,0.00100000,1.0000,R-60822
I-2860,3.000,g,1.00000000,1.0000,R-60822
I-2903,5.000,ml,0.00100000,1.0000,R-60822
I-2918,5.000,g,0.00100000,1.0000,R-60822
I-29439,250.000,g,0.00100000,1.0000,R-60822
I-4463,10.000,g,0.00220462,1.0000,R-60822
I-7454,35.000,g,0.00100000,1.0000,R-60822
I-1778,2.000,fl oz,1.00000000,1.0000,R-9819
I-2251,8.000,fl oz,0.02840000,1.0000,R-9819
I-1778,6.000,fl oz,1.00000000,1.0000,R-9821
