PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom
P-5545,PREP|Bechamel ,10.000,L,PREP,10000.0,ml
P-30411,PREP|Cooked Spelt,2.000,Kg,,2000.0,g
P-5962,PREP|Pesto,20.000,L,PREP,20000.0,ml
P-10395,PREP|Sauce Cheese ,15.000,L,,15000.0,ml
P-30409,PREP|Tri Colour Rotini,2.000,Kg,,2000.0,g
P-30410,SALAD| Antipasto Pasta,2050.000,g,,2050.000,g
P-30412,SALAD|Spelt|Arugula ,1200.000,g,,1200.000,g
P-25843,SALAD|Very Berry Spelt,2000.000,g,,2000.000,g
P-25844,SALAD|Watermelon tomato ,2800.000,g,,2800.000,g
P-56773,DRAIN|Pepperoncini,1.500,Kg,,1500.0,g
P-34534,PREP|Basil Leaf,10.000,oz,,283.495,g
P-5537,PREP|Bolognese,15.000,L,PREP,15000.0,ml
P-56730,PREP|Chipotle BBQ Sauce,1.000,L,PREP,1000.0,ml
P-34666,PREP|Cooked Sausage,8.000,Kg,,8000.0,g
P-48870,PREP|Cooked|Chicken Stirfry ,6.300,Kg,,6300.0,g
P-34535,PREP|Drain Artichokes,1.400,Kg,,1400.0,g
P-43917,PREP|Drain Mushroom In Oil,450.000,g,,450.000,g
P-34541,PREP|Drain Tomato in oil,2.400,Kg,,2400.0,g
P-5548,PREP|Lasagna,3.000,full in,PREP,3.000,full in
P-56728,PREP|Tomato Onion Jam,454.000,g,,454.000,g
P-56729,PREP|Vegan Beef Crumble,112.000,g,,112.000,g
P-56774,PREP|Vegan Chorizo,2.000,Kg,,2000.0,g
P-58299,PUREE|Butternut Squash,4.000,Kg,,4000.0,g
P-56507,PREP|Coffee,2.000,L,,2000.0,ml
P-5960,PREP|Tiramisu ,1.000,full in,PREP,1.000,full in
P-6574,COFFEE MILANO ADAGIO URN,64.000,oz,,1814.368,g
P-6846,PREP|Pizza dough,36.980,Kg,PREP,36980.0,g
