PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom
P-54697,LEMON|Wedge 1/8,8.000,each,PREP,8.000,each
P-35132,MARINATED|Lemon & Herb Chx,185.000,ea,PREP,185.000,ea
P-51992,YIELD|Bread|Sourdough 5/8,36.000,slice,,36.000,slice
P-26234,BATCH|Roasted Garlic Bread,16.000,ea,PREP,16.000,ea
P-26170,GRILLED|NaanBread,1.000,ea,PREP,1.000,ea
P-16305,YIELD|Smokie (1pc),1.000,ea,,1.000,ea
P-26047,BOILED|Hard Boiled Eggs FT,50.000,ea,PREP,50.000,ea
P-26631,BRK|Pancake|Chocolate Chip,24.000,ea,,24.000,ea
P-26057,FRIED|Sunny/Overeasy Egg,1.000,ea,ZDONT USE OK - PREP,1.000,ea
P-26056,GRILLED|Tomato,1.000,ea,ZDONT USE OK - PREP,1.000,ea
P-44587,GRL|FRIED|Egg,1.000,ea,,1.000,ea
P-26481,POACHED|Egg|Soft,1.000,ea,ZDONT USE OK - PREP,1.000,ea
P-52620,GARNISH|Lime Mini Wedge,8.000,piece,,8.000,piece
P-51510,SLICED|Avocado|1/4ea,4.000,PTN,,4.000,PTN
P-50398,STICKS|Cucumber,12.000,CT,PREP,12.000,CT
P-61796,MARINADE|Bali Pork Chop,10.000,CT,,10.000,CT
P-35713,BLACKENED|Chicken,185.000,ea,PREP,185.000,ea
P-51508,COOKED|Bacon|Slice,2.000,slice,,2.000,slice
P-56795,COOKED|Burger 4oz,1.000,ea,,1.000,ea
P-50809,YIELD|Country Loaf|Slice,18.000,slice,,18.000,slice
P-50439,FRIED|Tostada,3.000,piece,,3.000,piece
P-57631,SKEWER|Greek Chicken ,1.000,each,,1.000,each
P-26318,BAKEDPuff Pastry,10.000,ea,ZDONT USE OK - PREP,10.000,ea
P-61769,STEW|Chicken Pot Pie  ,8.000,PIE,,8.000,PIE
P-55238,MARINADE|Peri Peri Chicken,120.000,ea,PREP,120.000,ea
P-43635,ROASTED|Thai Chicken Thighs,25.000,ea,PREP,25.000,ea
P-37297,COOKED|Poached Egg,1.000,each,,1.000,each
P-53056,GRILLED|Roma Tomato|V2,13.000,PTN,PREP,13.000,PTN
P-52222,YIELD|Pickle Spear ea 20-30g,1.000,ea,,1.000,ea
P-26965,BAKED|Jalapeno Cornbread,12.000,piece,PREP,12.000,piece
P-28369,COST|Bread,1.000,ea,ZDONT USE OK - PREP,1.000,ea
P-28372,COST|Cheeses,1.000,slice,ZDONT USE OK - PREP,1.000,slice
P-28373,COST|Vegetables,1.000,un,ZDONT USE OK - PREP,1.000,un
P-52942,FILLING|Taco|Prawn|FLX,1.000,each,,1.000,each
P-51230,WINGS|Sauce Mix|ratio,1.000,srvg,,1.000,srvg
P-45255,YIELD|Chicken Strips,70.000,piece,,70.000,piece
P-52994,YIELD|Prawn|TACO,35.000,each,,35.000,each
P-44392,PREP|Eggs|poached,8.000,each,PREP,8.000,each
P-44506,SLICED|Avocado|Quarter,4.000,each,,4.000,each
P-43737,VEG|Soft Boiled Egg,20.000,each,FOOD - GROCERY,20.000,each
P-51826,GARNISH|Fried Rice Friday,1.000,PTN,,1.000,PTN
P-61508,GRILLED|Mexican Corn,8.000,ea,,8.000,ea
P-46509,YIELD|Lettuce bun,3.000,PTN,,3.000,PTN
