ProdId,Description,Cost
R-36666,FF|Bowl|Five Alarm,2.2206
R-36568,FF|Pasta|Spinach Avocado,1.7066
R-50362,FLX|Bowl|Karaage Chicken,3.0860
R-50360,FLX|Bowl|Salmon,4.3323
R-50359,FLX|Bowl|Tuna Albacore,3.6203
R-44362,FLX|Fried Cauliflower Bowl|Med,2.8280
R-44319,FLX|Side Quinoa Tabouleh Salad,0.7044
R-44583,FLX|Taco|Mojo pork,1.2247
R-30406,G&G|Croissant|Multigrain|OK ,1.1157
R-32750,GLB|Chicken Adobo,2.6894
R-29391,GLB|Chicken Kung Pao,2.5975
R-56893,GLB|Short Rib Papperdelle,2.2532
R-37093,GLB|Spaghetti & Meatballs,2.2869
R-33532,GLB|Sweet Chili Chicken,1.8339
R-50700,GLB|Teriyaki Tofu Bowl,3.9518
R-51190,GRL|Bagel E.A.L.T Bfast Sandw,1.9234
R-28280,GRL|Breakfast Entree,2.3828
R-50368,GRL|BreakfastCroissant,2.6106
R-35714,GRL|Burger|BlackenedChicken,2.6927
R-28251,GRL|BURGER|California Chicken,3.4470
R-28250,GRL|Burger|Cheeseburger,2.4117
R-28249,GRL|Burger|Classic Beef ,2.2129
R-43964,GRL|Burger|Thai Chili,2.3259
R-28288,GRL|TurkeyBreakfastSausage(2),1.2490
R-53084,SQR|Ultimate Veg Burger,2.9859
R-28396,SQR|Vegetarian Lasagna 250g,1.1947
R-44779,TRUCK|Chick Wings|W/O Gluten,3.7895
R-55819,TRUCK|Fish & Chips|2pc,3.0266
R-60550,TRUCK|Mac & Cheese,3.1381
R-55117,VEG|BananaAlmond Overnite Oats,1.7104
R-27275,VEG|Black Bean Breakfast Bowl,1.6086
R-43738,VEG|BOWL|DobanjiangNoodle ,1.6417
R-56509,VEG|Breakfast Quesadilla,2.6422
R-32886,VEG|Curried Chickpea Bowl,1.9811
R-53342,VEG|Falafel Bowl,2.6650
R-58351,VEG|Harvest Pumpkin Pasta,3.7046
R-48488,VEG|Huevos Rancheros,0.7958
R-57098,VEG|Kale Wh Bean Quesadilla,2.4113
R-56696,VEG|Omelet|Mushroom Pesto,2.0760
R-50555,VEG|Omelet|Spinach Goat Cheese,1.6493
R-27405,VEG|Southwest Bowl,2.4021
R-55133,VEG|Spin Artichoke Quesadilla,2.2450
R-60319,VEG|Spin Mush Avo Quesadilla,3.2032
R-27273,VEG|Toast|Avocado,2.0567
R-50859,ALF|Flatbread|Bruschetta,2.4308
R-50494,ALF|Flatbread|Proscuitto,3.4982
R-56505,ALF|Pasta|Chicken Alfredo,2.0434
R-61129,AVOCADO SPINACH PASTA,1.7033
R-44308,BNO|Bowl Pulled Pork,2.7708
R-44315,BNO|Bowl|Ancho Chicken,2.5061
R-44310,BNO|Bowl|Steak,3.9294
R-43587,BNO|Burrito|Ancho Chicken,2.8038
R-44303,BNO|Burrito|Pulled Pork,3.0685
R-43580,BNO|Burrito|Steak ,4.2271
R-44316,BNO|Burrito|White Bean ,2.6735
R-57179,BNO|Chicken Fajita Bowl,2.9435
R-35896,CAL|Bowl|Havana,2.4140
R-37170,CST|Beef ,3.3240
R-37171,CST|Chicken,3.0259
R-51828,CST|Fried Rice Friday|Meat,4.1285
R-37172,CST|Salmon,4.7224
R-37173,CST|Tofu,2.5027
R-28301,CST|Veg Only,2.0785
R-44024,GRL|Burrito|Gather & Run,2.0550
R-30954,GRL|Chicken Breast,1.5662
R-50569,GRL|Crepe|NutellaBanana,1.0119
R-28293,GRL|Crispy Chicken Strips,3.1012
R-35015,GRL|FrenchFries,0.7590
R-55155,GRL|Get to Class Sandwich|G&G,1.5325
R-57405,GRL|Grilled Cheese|Classic,1.9483
R-28235,GRL|Ham &Egg Bfast Sand|G&G,1.4454
R-35772,GRL|PotatoWedges,1.0050
R-54875,GRL|Poutine|Original,1.9388
R-46547,GRL|Salad|Bandit,2.8119
R-35749,GRL|Salad|Honey Sesame Chicken,3.0480
R-50894,GRL|Salad|Signature|SIDE,1.2984
R-57819,GRL|Salad|Spicy Caesar,1.7553
R-53848,GRL|Salad|Spicy Caesar|Side,1.0696
R-28281,GRL|Sandwich|Breakfast,1.3186
R-28232,GRL|Sausage & Egg Bfast Sand,1.5336
R-28286,GRL|ScrambledEggs,0.4625
R-35014,GRL|YamFries,1.1814
R-35751,SWG|Salad|Spicy Caesar,1.7551
R-55168,HS|Pasta Bar Plant Based,3.6070
R-55166,HS|Pasta Bar w Protien,5.1790
R-45419,S&S|Dan Dan Noodle|Pork,1.4403
R-44866,S&S|Dan Dan Noodle|Tofu,1.6714
R-41308,S&S|Miso Ramen with Egg,2.5819
R-43886,SAND|Falafel,2.7123
R-43880,SAND|Ham,2.8784
R-43885,SAND|Roast Beef,2.8039
R-43884,SAND|Turkey ,3.2866
R-28374,SAND|Veg,2.2064
R-43213,SMOOTHIE|MANGO BLISS|16oz,1.6803
R-29556,SMOOTHIE|WILD BERRY|16oz,2.3054
R-57340,SQR|Bangers & Mash+1,3.2984
R-28323,SQR|Butter Chicken,3.0342
R-37050,SQR|ButterChicken+1,3.5873
R-37051,SQR|ButterChicken+2,4.1374
R-28324,SQR|GarlicNaanBread,0.4097
R-38664,SQR|Greek Chicken Skewer +1,3.3118
R-38665,SQR|Greek Chicken Skewer +2,4.1901
R-42369,SQR|PaneerTikaMasala+1,1.9241
